"","code","movie_title","point","Genres","Times","Releases","Directors","Actors","Grades"
"1","151196","원더","9.41"," 드라마","113","20171227","스티븐 크보스키","제이콥 트렘블레이(어기 풀먼), 줄리아 로버츠(이자벨 풀먼), 오웬 윌슨(네이트 풀먼)"," 전체 관람가 PG"
"2","106360","위대한 쇼맨","9.38"," 드라마,  뮤지컬","104","20171220","마이클 그레이시","휴 잭맨(P.T. 바넘), 잭 에프론(필립 칼라일), 미셸 윌리엄스(채러티 바넘)"," 12세 관람가 PG"
"3","18847","타이타닉","9.29"," 멜로/로맨스,  드라마","194","19980220","제임스 카메론","레오나르도 디카프리오(잭 도슨), 케이트 윈슬렛(로즈 드윗 부카더)"," 15세 관람가 PG-13"
"4","31013","빌리 엘리어트","9.28"," 드라마,  가족,  코미디","110","20010217","스티븐 달드리","제이미 벨(빌리 엘리어트), 줄리 월터스(윌킨슨 부인), 게리 루이스(아버지 재키 엘리어트)"," 12세 관람가 R"
"5","151752","온리 더 브레이브","9.27"," 드라마","133","20180307","조셉 코신스키","조슈 브롤린(에릭 마쉬), 마일즈 텔러(브렌든 맥도너), 제프 브리지스(두에인 스타인브링크)"," 12세 관람가 PG-13"
"6","172006","젝스키스 에이틴","9.23"," 다큐멘터리","100","20180118","리 언크리치","은지원, 이재진, 장수원"," 전체 관람가"
"7","151728","코코","9.22"," 애니메이션,  모험,  코미디","127","20180111","도로타 코비엘라, 휴 웰치맨","안소니 곤잘레스 (미구엘 목소리), 가엘 가르시아 베르날(헥터 목소리), 벤자민 브랫(에르네스토 델라 크루즈 목소리)"," 전체 관람가 PG"
"8","144379","러빙 빈센트","9.19"," 애니메이션,  미스터리","95","20171109","히시다 마사카즈","더글러스 부스(아르망 룰랭), 시얼샤 로넌(마르그리트 가셰), 제롬 플린(닥터 가셰)"," 15세 관람가 PG-13"
"9","152160","킹 오브 프리즘 한국어판","9.18"," 드라마,  애니메이션,  판타지","60","20160811","김현호, 윤제완","카키하라 테츠야(미하마 코우지 목소리), 마에노 토모아키(하야미 히로 목소리), 마스다 토시키(니시다 카즈키 목소리)"," 12세 관람가"
"10","169349","뽀로로 극장판 공룡섬 대모험","9.17"," 애니메이션","79","20171207","폴 킹","이선(뽀로로 목소리), 이미자(크롱 목소리), 함수정(에디 목소리)"," 전체 관람가"
"11","146489","패딩턴 2","9.11"," 코미디,  드라마,  애니메이션","104","20180208","조 라이트","벤 위쇼(패딩턴 목소리), 휴 그랜트(피닉스 뷰캐넌), 샐리 호킨스(매리 브라운)"," 전체 관람가 PG"
"12","150687","다키스트 아워","9.10"," 드라마,  전쟁","125","20180117","이성재","게리 올드만(윈스턴 처칠), 크리스틴 스콧 토마스(클레멘타인 처칠), 릴리 제임스(엘리자베스 레이튼)"," 12세 관람가 PG-13"
"13","151254","비밥바룰라","9.09"," 코미디","97","20180124","마틴 맥도나","박인환(영환), 신구(순호), 임현식(현식)"," 12세 관람가"
"14","158610","쓰리 빌보드","8.99"," 코미디,  범죄,  드라마","115","20180315","최성현","프란시스 맥도맨드(밀드레드), 우디 해럴슨(윌러비), 샘 록웰(딕슨)"," 15세 관람가 R"
"15","158180","그것만이 내 세상","8.96"," 코미디,  드라마","120","20180117","클린트 이스트우드","이병헌(김조하), 윤여정(주인숙), 박정민(오진태)"," 12세 관람가"
"16","17255","매디슨 카운티의 다리","8.91"," 드라마,  멜로/로맨스","135","19950923","야마자키 다카시, 야기 류이치","메릴 스트립(프란체스카 존슨), 클린트 이스트우드(로버트 킨케이드)"," 15세 관람가 PG-13"
"17","88495","프렌즈: 몬스터 섬의 비밀","8.89"," 애니메이션,  모험","88","20111229","니콜라이 퓰시","이장원(나키 목소리), 엄상현(군조 목소리), 김서영(코타케 목소리)"," 전체 관람가"
"18","168037","12 솔져스","8.85"," 액션,  드라마,  전쟁","130","20180131","임순례","크리스 헴스워스(미치 넬슨), 마이클 섀넌(할 스펜서), 마이클 페나(샘 딜러)"," 15세 관람가 R"
"19","154449","리틀 포레스트","8.81"," 드라마","103","20180228","스티븐 스필버그","김태리(혜원), 류준열(재하), 문소리(혜원 엄마)"," 전체 관람가"
"20","159848","더 포스트","8.79"," 드라마,  스릴러","116","20180228","프란시스 로렌스","메릴 스트립(캐서린 그레이엄), 톰 행크스(벤 브래들리)"," 12세 관람가 PG-13"
"21","151744","레드 스패로","8.79"," 스릴러","140","20180228","이장훈","제니퍼 로렌스(도미니카 예고로바), 조엘 에저튼(네이트 내쉬), 마티아스 쇼에나에츠(반야 예고로브)"," 청소년 관람불가"
"22","168298","지금 만나러 갑니다","8.72"," 멜로/로맨스","131","20180314","미키 타카히로","소지섭(우진), 손예진(수아)"," 12세 관람가"
"23","157178","나는 내일, 어제의 너와 만난다","8.69"," 멜로/로맨스,  판타지","110","20171012","선호빈","후쿠시 소우타(미나미야마 타카토시), 고마츠 나나(후쿠쥬 에미)"," 12세 관람가"
"24","162153","B급 며느리","8.59"," 다큐멘터리","80","20180117","기예르모 델 토로","김진영(본인), 조경숙(본인)"," 12세 관람가"
"25","158626","셰이프 오브 워터: 사랑의 모양","8.48"," 드라마,  판타지,  멜로/로맨스,  스릴러,  전쟁","123","20180222","야마모토 야스이치로","샐리 호킨스(엘라이자 에스포지토), 마이클 섀넌(리차드 스트릭랜드), 리차드 젠킨스(자일스)"," 청소년 관람불가 R"
"26","66725","명탐정 코난 : 감벽의 관","8.44"," 애니메이션,  액션","107","20180214","션 베이커","김선혜(코난 한국어 목소리), 강수진(남도일 한국어 목소리), 이현진(유미란 한국어 목소리)"," 12세 관람가"
"27","164719","플로리다 프로젝트","8.44"," 드라마","111","20180307","토미 위르콜라","윌렘 대포(바비), 브루클린 프린스(무니), 브리아 비나이트(핼리)"," 15세 관람가 R"
"28","118955","월요일이 사라졌다","8.31"," 액션,  범죄,  모험","123","20180222","짐 자무쉬","누미 라파스(카렌 셋맨), 윌렘 대포(테렌스 셋맨), 글렌 클로즈(니콜렛 케이먼)"," 15세 관람가"
"29","144975","패터슨","8.31"," 드라마","118","20171221","크리스토퍼 놀란","아담 드라이버(패터슨), 골쉬프테 파라하니(로라)"," 12세 관람가 R"
"30","146480","덩케르크","8.30"," 액션,  드라마,  스릴러,  전쟁","106","20170720","마이크 밀스","핀 화이트헤드(토미), 마크 라이런스(도슨), 톰 하디(파리어)"," 12세 관람가 PG-13"
"31","143390","우리의 20세기","8.27"," 드라마","119","20170927","제임스 폴리","아네트 베닝(도로시아), 엘르 패닝(줄리), 그레타 거윅(애비)"," 15세 관람가 R"
"32","154598","50가지 그림자: 해방","8.06"," 드라마,  멜로/로맨스,  스릴러","105","20180221","고레에다 히로카즈","다코타 존슨(아나스타샤 스틸), 제이미 도넌(크리스찬 그레이)"," 청소년 관람불가 R"
"33","166583","세 번째 살인","8.00"," 서스펜스,  드라마","125","20171214","롭 코헨","후쿠야마 마사하루(시게모리), 야쿠쇼 코지(미스미), 히로세 스즈(야마나카 사키에)"," 15세 관람가"
"34","158631","허리케인 하이스트","7.96"," 액션,  스릴러","103","20180314","미셸 공드리","토비 켑벨(윌), 매기 그레이스(케이시), 라이언 콴튼(브리즈)"," 15세 관람가 PG-13"
"35","44354","수면의 과학","7.95"," 코미디,  판타지,  멜로/로맨스","106","20061221","김용화","가엘 가르시아 베르날(스테판), 샤를로뜨 갱스부르(스테파니)"," 15세 관람가"
"36","85579","신과함께-죄와 벌","7.90"," 판타지,  드라마","139","20171220","라이언 쿠글러","하정우(강림), 차태현(자홍), 주지훈(해원맥)"," 12세 관람가"
"37","137326","블랙 팬서","7.55"," 액션,  드라마,  SF","135","20180214","히로키 류이치","채드윅 보스만(티찰라 / 블랙 팬서)"," 12세 관람가 PG-13"
"38","159862","나미야 잡화점의 기적","7.48"," 판타지,  드라마","130","20180228","자비에 돌란","야마다 료스케(아츠야), 니시다 토시유키(나미아 유지), 무라카미 니지로(쇼타)"," 전체 관람가"
"39","137958","단지 세상의 끝","7.46"," 드라마","99","20170118","로아 우다우그","나탈리 베이(어머니), 뱅상 카셀(앙투안), 마리옹 꼬띠아르(카트린)"," 15세 관람가"
"40","158601","툼레이더","7.42"," 액션,  모험","118","20180308","이창희","알리시아 비칸데르(라라 크로포트)"," 12세 관람가"
"41","165026","사라진 밤","7.24"," 스릴러","101","20180307","홍창표","김상경(중식), 김강우(진한), 김희애(설희)"," 15세 관람가"
"42","141206","궁합","7.01"," 코미디,  드라마","110","20180228","김석윤","심은경(송화옹주), 이승기(서도윤)"," 12세 관람가"
"43","165748","조선명탐정: 흡혈괴마의 비밀","6.74"," 모험,  코미디","120","20180208","김제영","김명민(김민), 오달수(서필), 김지원(여주)"," 12세 관람가"
"44","153620","치즈인더트랩","5.81"," 멜로/로맨스,  스릴러","116","20180314","노동석","박해진(유정), 오연서(홍설), 박기웅(백인호)"," 15세 관람가"
"45","158112","골든슬럼버","5.43"," 범죄,  드라마","108","20180214","신재호","강동원(김건우/실리콘), 김의성(민씨), 한효주(전선영)"," 15세 관람가"
"46","172005","게이트","4.71"," 범죄,  코미디","92","20180228","로빈 캉필로","정려원(소은), 임창정(규철), 정상훈(민욱)"," 15세 관람가"
"47","162876","120BPM","2.63"," 드라마","143","20180315","스티븐 크보스키","나우엘 페레즈 비스카야트(션), 아르노 발로아(나톤)"," 청소년 관람불가"
